Time Elapsed (s),Total Energy,Algae Population,Algae Energy,Ciliate Population,Ciliate Energy
303,122.12300000000087,9,9,21,113.12300000000087
304,118.90000000000059,9,9,20,109.90000000000059
305,117.7030000000006,12,12,21,105.7030000000006
306,122.4430000000007,6,6,21,116.4430000000007
307,126.1940000000007,5,5,22,121.1940000000007
308,129.89600000000084,8,8,22,121.89600000000084
309,126.63300000000038,7,7,21,119.63300000000038
310,122.42700000000055,9,9,21,113.42700000000055
311,129.21200000000053,10,10,22,119.21200000000053
312,119.94500000000028,12,12,21,107.94500000000028
313,116.73599999999979,10,10,20,106.73599999999979
314,118.5389999999998,6,6,21,112.5389999999998
315,117.34599999999959,8,8,20,109.34599999999959
316,117.12499999999963,6,6,21,111.12499999999963
317,119.82799999999962,3,3,22,116.82799999999962
318,122.52999999999966,4,4,22,118.52999999999966
319,125.20999999999967,4,4,22,121.20999999999967
320,127.91199999999967,4,4,22,123.91199999999967
321,130.54899999999972,3,3,23,127.54899999999972
322,136.1919999999997,5,5,23,131.1919999999997
323,137.81199999999973,5,5,23,132.81199999999973
324,137.34099999999978,4,4,26,133.34099999999978
325,131.83899999999957,9,9,25,122.83899999999957
326,128.3659999999997,8,8,25,120.3659999999997
327,116.97200000000028,7,7,23,109.97200000000028
328,115.64500000000017,8,8,22,107.64500000000017
329,115.33999999999968,14,14,21,101.33999999999968
330,113.10099999999865,13,13,21,100.10099999999865
331,119.8409999999986,14,14,21,105.8409999999986
332,121.58099999999857,12,12,21,109.58099999999857
333,108.41099999999926,9,9,19,99.41099999999926
334,114.32799999999918,10,10,19,104.32799999999918
335,111.20199999999927,8,8,18,103.20199999999927
336,110.14199999999973,7,7,18,103.14199999999973
337,100.1239999999993,14,14,16,86.1239999999993
338,105.21599999999927,13,13,16,92.21599999999927
339,99.3319999999993,15,15,14,84.3319999999993
340,95.49999999999959,17,17,13,78.49999999999959
341,98.71999999999967,9,9,13,89.71999999999967
342,102.83899999999984,10,10,15,92.83899999999984
343,107.82899999999987,13,13,18,94.82899999999987
344,106.78700000000035,15,15,17,91.78700000000035
345,102.80600000000034,16,16,16,86.80600000000034
346,101.92500000000025,17,17,15,84.92500000000025
347,95.00000000000043,15,15,15,80.00000000000043
348,98.10000000000046,14,14,15,84.10000000000046
349,104.20000000000056,16,16,15,88.20000000000056
350,89.38300000000032,16,16,13,73.38300000000032
351,94.60200000000049,14,14,14,80.60200000000049
352,96.78800000000062,12,12,15,84.78800000000062
353,102.9180000000007,10,10,15,92.9180000000007
354,103.95900000000086,10,10,17,93.95900000000086
355,108.86300000000092,12,12,18,96.86300000000092
356,110.80100000000103,6,6,18,104.80100000000103
357,111.76900000000091,14,14,17,97.76900000000091
358,95.8240000000002,14,14,17,81.8240000000002
359,99.80400000000004,12,12,17,87.80400000000004
360,102.8309999999999,12,12,16,90.8309999999999
361,106.90299999999996,12,12,16,94.90299999999996
362,110.90600000000002,12,12,18,98.90600000000002
363,115.84400000000007,15,15,18,100.84400000000007
364,109.83600000000031,16,16,17,93.83600000000031
365,115.8330000000004,13,13,17,102.8330000000004
366,121.83000000000055,16,16,17,105.83000000000055
367,124.77900000000065,14,14,18,110.77900000000065
368,131.69900000000072,11,11,18,120.69900000000072
369,127.52900000000052,13,13,20,114.52900000000052
370,132.30200000000053,12,12,22,120.30200000000053
371,138.8750000000005,13,13,24,125.87500000000053
372,135.50200000000024,10,10,23,125.50200000000022
373,141.16800000000023,9,9,23,132.16800000000023
374,143.78800000000024,10,10,23,133.78800000000024
375,133.4190000000003,15,15,21,118.4190000000003
376,130.17999999999972,15,15,19,115.17999999999971
377,125.07199999999953,11,11,18,114.07199999999953
378,132.02999999999952,15,15,19,117.02999999999953
379,135.8959999999995,9,9,20,126.89599999999952
380,137.68599999999958,6,6,21,131.68599999999958
381,135.38899999999916,10,10,21,125.38899999999914
382,136.1709999999991,7,7,21,129.1709999999991
383,138.9319999999992,6,6,21,132.9319999999992
384,143.71399999999932,7,7,21,136.71399999999932
385,140.47299999999942,8,8,21,132.47299999999942
386,134.19299999999907,10,10,22,124.19299999999907
387,143.8729999999991,9,9,22,134.8729999999991
388,125.61999999999924,11,11,20,114.61999999999924
389,128.41999999999922,6,6,20,122.41999999999922
390,135.23999999999933,8,8,20,127.23999999999931
391,143.01399999999938,16,16,21,127.01399999999938
392,132.81199999999995,10,10,19,122.81199999999995
393,133.62400000000017,6,6,20,127.62400000000017
394,135.38100000000034,6,6,22,129.38100000000034
395,137.0830000000004,6,6,22,131.0830000000004
396,120.83399999999993,7,7,20,113.83399999999993
397,124.65400000000015,8,8,20,116.65400000000015
398,130.42800000000034,7,7,21,123.42800000000034
399,136.1470000000006,9,9,21,127.14700000000059
400,138.7730000000007,9,9,24,129.7730000000007
401,137.37000000000015,8,8,23,129.37000000000015
402,134.99600000000035,12,12,22,122.99600000000035
403,125.69399999999996,11,11,22,114.69399999999996
404,108.4799999999998,11,11,19,97.4799999999998
405,101.33499999999952,8,8,19,93.33499999999952
406,106.19499999999945,10,10,19,96.19499999999945
407,113.02499999999941,8,8,20,105.02499999999941
408,114.82499999999942,8,8,20,106.82499999999942
409,119.64099999999938,10,10,21,109.64099999999938
410,127.38099999999932,9,9,21,118.38099999999932
411,125.13399999999949,10,10,20,115.13399999999949
412,131.90699999999947,11,11,21,120.90699999999946
413,130.67699999999996,9,9,21,121.67699999999996
414,118.4829999999992,14,14,21,104.4829999999992
415,124.24099999999906,15,15,22,109.24099999999906
416,125.92099999999897,7,7,22,118.92099999999897
417,132.62299999999897,10,10,22,122.62299999999897
418,140.34699999999904,9,9,22,131.34699999999904
419,132.06499999999943,11,11,21,121.06499999999942
420,127.84599999999932,8,8,21,119.84599999999932
421,134.5759999999994,9,9,22,125.57599999999941
422,128.32499999999942,9,9,22,119.32499999999942
423,132.00499999999946,10,10,22,122.00499999999946
424,124.72499999999926,6,6,22,118.72499999999926
425,127.40499999999936,6,6,22,121.40499999999936
426,119.0969999999995,5,5,22,114.0969999999995
427,127.7769999999996,6,6,22,121.7769999999996
428,120.5039999999994,10,10,22,110.5039999999994
429,123.18399999999953,9,9,22,114.18399999999953
430,128.8699999999996,8,8,23,120.86999999999962
431,129.473,9,9,23,120.473
432,133.09300000000002,6,6,23,127.09300000000003
433,120.69100000000051,10,10,22,110.69100000000051
434,128.3710000000005,12,12,22,116.37100000000049
435,133.05100000000044,11,11,22,122.05100000000043
436,136.73100000000045,11,11,22,125.73100000000045
437,124.51099999999977,13,13,21,111.51099999999977
438,119.24999999999994,8,8,22,111.24999999999994
439,122.95199999999966,7,7,22,115.95199999999966
440,134.63199999999944,14,14,22,120.63199999999944
441,133.38399999999908,7,7,21,126.38399999999908
442,138.12399999999909,7,7,21,131.12399999999909
443,133.90899999999908,9,9,21,124.9089999999991
444,137.6319999999991,9,9,22,128.6319999999991
445,133.268999999999,2,2,22,131.268999999999
446,140.97099999999915,7,7,22,133.97099999999915
447,136.69299999999924,7,7,21,129.69299999999924
448,124.46199999999936,5,5,20,119.46199999999936
449,118.28399999999966,6,6,19,112.28399999999966
450,121.16299999999978,5,5,19,116.16299999999978
451,125.94599999999996,6,6,21,119.94599999999996
452,126.65900000000008,2,2,22,124.65900000000008
453,120.37500000000036,2,2,22,118.37500000000036
454,112.12600000000025,4,4,21,108.12600000000025
455,109.86100000000016,7,7,21,102.86100000000016
456,109.65100000000025,11,11,20,98.65100000000025
